sensitivity_type,omitted_group,distance_km,repetition,aggregation_level,profile,importance_balance,n_records,n_strata,weight_sum,region,climatezone,ranking,baseline_balance,absolute_deviation
baseline,NA,NA,NA,overall,signed,-0.5285855289613305,1118,39,410.323,All,All,climate,-0.5285855289613305,0
baseline,NA,NA,NA,region,signed,-0.7139507847316411,98,10,36.127,Asia,All,climate,-0.7139507847316411,0
baseline,NA,NA,NA,region,signed,-0.5782751009177085,381,7,132.286,Europe,All,climate,-0.5782751009177085,0
baseline,NA,NA,NA,region,signed,-0.5761872224120259,71,7,26.343,Latin America,All,climate,-0.5761872224120259,0
baseline,NA,NA,NA,region,signed,-0.4670971615124708,533,8,201.551,North America,All,climate,-0.4670971615124708,0
baseline,NA,NA,NA,region,signed,-0.37655536529680367,35,7,14.016,Oceania,All,climate,-0.37655536529680367,0
baseline,NA,NA,NA,region_climatezone,signed,-0.5800100033344447,19,1,5.998,Asia,Arid,climate,-0.5800100033344447,0
baseline,NA,NA,NA,region_climatezone,signed,-1.126734842951059,4,1,1.369,Asia,Cold_Dry_Summer,climate,-1.126734842951059,0
baseline,NA,NA,NA,region_climatezone,signed,-0.7646891607959462,21,1,8.091,Asia,Cold_Dry_Winter,climate,-0.7646891607959462,0
baseline,NA,NA,NA,region_climatezone,signed,-0.8277339642481598,9,1,3.8040000000000003,Asia,Cold_Without_dry_season_Cold_Summer,climate,-0.8277339642481598,0
baseline,NA,NA,NA,region_climatezone,signed,0.009259259259259203,1,1,0.216,Asia,Cold_Without_dry_season_Hot_Summer,human,0.009259259259259203,0
baseline,NA,NA,NA,region_climatezone,signed,-0.7877854846895619,16,1,5.911,Asia,Cold_Without_dry_season_Warm_Summer,climate,-0.7877854846895619,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6596424384525206,10,1,3.412,Asia,Polar,climate,-0.6596424384525206,0
baseline,NA,NA,NA,region_climatezone,signed,-1.0125202374527793,5,1,1.853,Asia,Temperate_Dry_Summer,climate,-1.0125202374527793,0
baseline,NA,NA,NA,region_climatezone,signed,0.007591504744690476,6,1,2.213,Asia,Temperate_Dry_Winter,human,0.007591504744690476,0
baseline,NA,NA,NA,region_climatezone,signed,-0.8193251533742331,7,1,3.2600000000000002,Asia,Temperate_Without_dry_season,climate,-0.8193251533742331,0
baseline,NA,NA,NA,region_climatezone,signed,-1.0722855935783693,7,1,2.367,Europe,Arid,climate,-1.0722855935783693,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6625,3,1,1.552,Europe,Cold_Dry_Summer,climate,-0.6625,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6500885065681189,92,1,32.201,Europe,Cold_Without_dry_season_Cold_Summer,climate,-0.6500885065681189,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6510013065175951,144,1,46.689,Europe,Cold_Without_dry_season_Warm_Summer,climate,-0.6510013065175951,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6662854349951124,30,1,10.23,Europe,Polar,climate,-0.6662854349951124,0
baseline,NA,NA,NA,region_climatezone,signed,-0.6676690029391815,14,1,4.423,Europe,Temperate_Dry_Summer,climate,-0.6676690029391815,0
baseline,NA,NA,NA,region_climatezone,signed,-0.33982598208132325,91,1,34.824,Europe,Temperate_Without_dry_season,climate,-0.33982598208132325,0
baseline,NA,NA,NA,region_climatezone,signed,-0.4712699514226232,5,1,1.441,Latin America,Arid,climate,-0.4712699514226232,0
baseline,NA,NA,NA,region_climatezone,signed,-0.8982222222222221,2,1,0.675,Latin America,Cold_Dry_Summer,climate,-0.8982222222222221,0
